Angle1,x1,y1,Angle2,x2,y2,Angle3,x3,y3,,Angle_t
-2.96,50,-968,0.946427879,15,908,-4.879262373,-7,82,,3.151863362
-2.94,50,-972,1.077335376,17,904,-2.147580406,-3,80,,3.165781355
-2.7,46,-974,0.950614847,15,904,-3.667779479,-5,78,,2.912973954
-2.94,50,-972,0.820256063,13,908,-3.667779479,-5,78,,3.151863362
-2.83,48,-972,0.946427879,15,908,-3.489316746,-5,82,,3.026028007
-2.82,48,-974,1.324883365,21,908,-3.667779479,-5,78,,3.026028007
-2.94,50,-972,0.822066534,13,906,-3.667779479,-5,78,,3.158807043
-2.94,50,-972,1.204045366,19,904,-6.581929264,-9,78,,3.165781355
-2.83,48,-972,0.822066534,13,906,-2.202593011,-3,78,,3.032695524
-2.71,46,-972,1.074957711,17,906,-2.147580406,-3,80,,2.906554587
-3.18,54,-972,0.823885015,13,904,-3.576326012,-5,80,,3.418465424
-3.06,52,-972,0.948516743,15,906,-5.12817905,-7,78,,3.284887931
-3.18,54,-972,0.948516743,15,906,-2.095247665,-3,82,,3.410936979
-2.71,46,-972,1.079723582,17,902,-3.667779479,-5,78,,2.919421715
-2.94,50,-972,0.692550996,11,910,-3.667779479,-5,78,,3.14495011
-2.94,50,-972,0.822066534,13,906,-3.44737879,-5,83,,3.158807043
-2.83,48,-972,0.820256063,13,908,-6.753558243,-9,76,,3.026028007
-2.83,48,-972,0.823885015,13,904,-4.879262373,-7,82,,3.039392462
-2.94,50,-972,0.820256063,13,908,-3.489316746,-5,82,,3.151863362
-2.94,50,-972,0.952722252,15,902,-3.489316746,-5,82,,3.1727865
-3.06,52,-972,0.952722252,15,902,-3.576326012,-5,80,,3.299422949
-2.94,50,-972,1.074957711,17,906,-4.879262373,-7,82,,3.158807043
-3.06,52,-974,0.697147121,11,904,-3.667779479,-5,78,,3.292139415
-3.19,54,-968,0.946427879,15,908,-0.734519317,-1,78,,3.403441582
-3.06,52,-972,0.822066534,13,906,-5.000632904,-7,80,,3.284887931
-2.84,48,-968,0.818453548,13,910,-5.000632904,-7,80,,3.019389716
-2.83,48,-972,0.950614847,15,904,-5.12817905,-7,78,,3.039392462
-3.18,54,-972,0.948516743,15,906,-3.576326012,-5,80,,3.410936979
-2.95,50,-970,1.074957711,17,906,-5.000632904,-7,80,,3.158807043
-3.19,54,-970,0.822066534,13,906,-6.263475968,-9,82,,3.410936979
-3.18,54,-972,0.948516743,15,906,-6.263475968,-9,82,,3.410936979
-2.83,48,-972,0.94227763,15,912,-3.489316746,-5,82,,3.012780459
-2.94,50,-972,0.944348195,15,910,-5.000632904,-7,80,,3.14495011
-3.19,54,-970,1.072590517,17,908,-8.027218739,-11,78,,3.403441582
-3.07,52,-970,1.070233724,17,910,-5.000632904,-7,80,,3.270480275
-3.19,54,-970,0.822066534,13,906,-2.202593011,-3,78,,3.410936979
-3.06,52,-972,0.818453548,13,910,-6.41877172,-9,80,,3.270480275
-3.19,54,-970,0.948516743,15,906,-6.263475968,-9,82,,3.410936979
-2.83,48,-970,0.948516743,15,906,-3.764026063,-5,76,,3.032695524
-3.06,52,-974,1.196108919,19,910,-6.188601492,-9,83,,3.270480275
-2.7,46,-976,0.952722252,15,902,-3.667779479,-5,78,,2.919421715
-2.95,50,-970,1.074957711,17,906,-5.12817905,-7,78,,3.158807043
-2.84,48,-968,0.94227763,15,912,-5.000632904,-7,80,,3.012780459
-3.18,54,-972,0.818453548,13,910,-3.576326012,-5,80,,3.395979017
-3.07,52,-970,0.948516743,15,906,-0.75384657,-1,76,,3.284887931
-3.06,52,-972,0.820256063,13,908,-3.489316746,-5,82,,3.277668288
-3.06,52,-974,0.823885015,13,904,-5.262383094,-7,76,,3.292139415
-2.94,50,-974,1.072590517,17,908,-5.12817905,-7,78,,3.151863362
-2.82,48,-976,0.954839021,15,900,-3.576326012,-5,80,,3.052875376
-2.93,50,-978,0.952722252,15,902,-5.000632904,-7,80,,3.1727865
