Angle1,x1,y1,x2,y2,x3,y3
-2.16,37,-982,13,919,-5,66
-2.04,35,-984,15,912,-5,68
-2.27,39,-984,11,912,-1,66
-2.27,39,-982,15,916,-7,68
-2.04,35,-982,13,912,-3,64
-2.28,39,-980,11,916,-3,68
-2.38,41,-986,13,914,-3,64
-2.27,39,-984,13,912,-3,64
-2.27,39,-984,15,917,-3,70
-2.27,39,-982,15,914,-9,66
-2.45,42,-982,15,916,-3,70
-2.28,39,-980,13,916,-1,64
-2.15,37,-984,15,914,-5,70
-2.15,37,-984,13,912,-1,68
-2.04,35,-982,15,917,-7,68
-2.45,42,-982,15,916,-7,66
-2.28,39,-980,9,917,-9,68
-2.27,39,-982,17,916,-3,64
-2.27,39,-982,13,914,-7,64
-2.27,39,-986,17,914,-3,70
-1.91,33,-988,15,919,-1,70
-2.38,41,-988,13,914,-7,66
-2.26,39,-988,15,917,-3,70
-2.39,41,-984,15,917,-7,68
-2.15,37,-984,15,916,-5,70
-2.27,39,-984,11,912,-5,66
-2.16,37,-980,13,916,-7,64
-2.37,41,-990,15,917,-3,70
-2.15,37,-986,11,916,-7,64
-2.27,39,-986,11,914,-3,64
-2.14,37,-988,17,914,-3,66
-2.26,39,-988,13,912,-7,66
-2.26,39,-988,13,917,-5,64
-2.02,35,-990,19,914,-5,70
-2.02,35,-990,17,919,-7,68
-2.26,39,-990,13,914,-5,66
-2.27,39,-986,13,916,-3,66
-2.15,37,-986,15,917,-5,66
-2.14,37,-988,13,914,-9,66
-2.26,39,-990,11,916,-7,68
-2.14,37,-990,17,916,-9,68
-2.14,37,-988,13,914,-7,70
-2.37,41,-990,11,914,-3,68
-2.04,35,-984,17,914,-7,66
-2.14,37,-988,13,914,-3,68
-2.43,42,-988,15,917,-9,62
-2.14,37,-990,13,914,0,64
-2.04,35,-982,17,912,-9,66
-2.26,39,-988,17,916,-3,70
-2.14,37,-988,15,914,-3,70
-2.15,37,-984,13,910,-1,66
-2.38,41,-988,13,917,-7,66
-2.04,35,-984,11,916,-3,66
-2.16,37,-982,15,917,-1,68
-2.38,41,-988,15,912,-7,66
-2.14,37,-990,15,919,-5,62
-2.16,37,-982,13,916,-5,70
-2.27,39,-986,15,916,-7,66
-2.27,39,-986,17,916,-5,66
-2.14,37,-988,17,917,-1,64
-1.91,33,-988,13,919,-7,66
-2.38,41,-988,13,916,-3,66
-2.14,37,-988,15,916,-7,66
-2.14,37,-988,13,919,-5,66
-2.39,41,-982,17,914,-3,68
-2.04,35,-984,13,914,-3,68
-2.27,39,-984,19,917,-5,68
-2.39,41,-984,15,917,-5,62
-2.16,37,-982,17,914,-3,64
-2.27,39,-984,15,916,-5,66
-2.04,35,-982,17,912,-5,68
-2.27,39,-984,11,916,-5,68
-2.04,35,-984,13,916,-5,68
-2.14,37,-988,11,916,-5,64
-2.15,37,-986,15,917,-5,66
-2.03,35,-986,13,916,-5,64
-2.27,39,-982,15,916,-5,64
-2.03,35,-986,13,916,-1,68
-2.15,37,-986,17,921,-3,66
-2.15,37,-986,11,916,-7,68
-2.39,41,-984,15,914,-1,68
-2.04,35,-984,15,916,-5,68
-2.44,42,-984,13,914,-9,68
-1.92,33,-982,15,914,-5,66
-2.27,39,-986,17,914,-5,66
-2.27,39,-982,15,916,-5,64
-2.04,35,-984,11,916,-7,70
-2.03,35,-988,15,916,-5,66
-2.39,41,-984,15,916,-5,72
-1.92,33,-986,11,914,-5,66
-2.26,39,-988,15,914,-5,66
-2.15,37,-986,15,917,-7,66
-2.27,39,-986,13,917,-3,70
-2.15,37,-986,13,916,-3,66
-2.14,37,-988,13,916,-3,68
-2.26,39,-990,17,916,-3,68
-2.03,35,-986,13,914,-5,66
-2.14,37,-988,17,914,-7,66
-2.04,35,-984,13,917,-5,68
-2.03,35,-986,13,916,-9,66
