Angle1,x1,y1,Angle2,x2,y2,Angle3,x3,y3
-43.49,683,-720,2.85376512,33,662,-2.474724789,-29,671
-43.33,681,-722,2.335537016,27,662,-2.6295079,-31,675
-43.24,679,-722,2.515917637,29,660,-2.460077824,-29,675
-43.48,679,-716,2.664990903,31,666,-2.460077824,-29,675
-43.33,681,-722,2.328510021,27,664,-2.645160861,-31,671
-43.41,683,-722,2.515917637,29,660,-2.277124944,-27,679
-43.33,681,-722,2.4895471,29,667,-2.6295079,-31,675
-43.24,679,-722,2.515917637,29,660,-2.467379583,-29,673
-43.48,681,-718,2.689182688,31,660,-2.297404549,-27,673
-43.16,679,-724,2.673006359,31,664,-2.621750637,-31,677
-43.33,681,-722,2.321525161,27,666,-2.8155501,-33,671
-43.33,681,-722,2.845183587,33,664,-2.304244882,-27,671
-43.48,681,-718,2.5083264,29,662,-2.6295079,-31,675
-43.32,679,-720,2.681070141,31,662,-2.645160861,-31,671
-43.16,679,-724,2.689182688,31,660,-2.297404549,-27,673
-43.41,681,-720,2.515917637,29,660,-2.467379583,-29,673
-43.24,677,-720,2.681070141,31,662,-2.637311171,-31,673
-43.15,675,-720,2.673006359,31,664,-2.304244882,-27,671
-43.41,683,-722,2.681070141,31,662,-2.460077824,-29,675
-43.57,685,-720,2.335537016,27,662,-2.467379583,-29,673
-43.32,679,-720,2.328510021,27,664,-2.460077824,-29,675
-43.24,677,-720,2.689182688,31,660,-2.6295079,-31,675
-43.33,681,-722,2.689182688,31,660,-2.474724789,-29,671
-43.4,679,-718,2.493280445,29,666,-2.474724789,-29,671
-43.41,685,-724,2.342606528,27,660,-2.474724789,-29,671
-43.57,683,-718,2.681070141,31,662,-2.959473935,-35,677
-43.17,683,-728,2.673006359,31,664,-2.790636544,-33,677
-43.65,683,-716,2.321525161,27,666,-2.290604686,-27,675
-43.25,681,-724,2.4895471,29,667,-2.297404549,-27,673
-43.32,679,-720,2.493280445,29,666,-2.6295079,-31,675
-43.34,685,-726,2.862398533,33,660,-2.467379583,-29,673
-43.33,681,-722,2.673006359,31,664,-2.283844936,-27,677
-43.16,677,-722,2.500780806,29,664,-2.467379583,-29,673
-43.17,681,-726,2.5083264,29,662,-2.807196342,-33,673
-43.49,685,-722,2.523554932,29,658,-2.467379583,-29,673
-43.08,679,-726,2.335537016,27,662,-2.297404549,-27,673
-43.4,679,-718,2.681070141,31,662,-2.807196342,-33,673
-43.33,683,-724,2.321525161,27,666,-2.283844936,-27,677
-43.16,679,-724,2.5083264,29,662,-2.653057384,-31,669
-43.25,681,-724,2.673006359,31,664,-2.474724789,-29,671
-43.25,683,-726,2.335537016,27,662,-2.798891969,-33,675
-43.17,681,-726,2.673006359,31,664,-2.452819127,-29,677
-43.33,683,-724,2.836653468,33,666,-2.460077824,-29,675
-43.16,677,-722,2.845183587,33,664,-2.6295079,-31,675
-43.49,685,-722,2.162705117,25,662,-2.474724789,-29,671
-43.16,679,-724,2.321525161,27,666,-2.6295079,-31,675
-43.33,681,-722,2.673006359,31,664,-2.790636544,-33,677
-43.49,685,-722,2.836653468,33,666,-2.637311171,-31,673
-43.4,679,-718,2.681070141,31,662,-2.6295079,-31,675
-43.48,681,-718,2.673006359,31,664,-2.474724789,-29,671
-43.4,679,-718,2.4895471,29,667,-2.467379583,-29,673
-43.16,679,-724,2.681070141,31,662,-2.621750637,-31,677
