Inclinometer Data Before Filtering,Filtered Data,Norm_Var,Filted Var
2.04112,2.04112,0,6.15479
2.16108,2.07446,0.000898277,4.44624
2.15656,2.09232,0.000420794,3.48089
2.14759,2.1022,0.000190699,2.8606
2.15656,2.11045,0.000184458,2.42853
2.15206,2.11594,0.000108072,2.11038
2.25738,2.13244,0.00124878,1.86641
2.04112,2.12289,0.000520538,1.67344
2.15656,2.12608,7.08E-05,1.51704
2.03686,2.11834,0.000496891,1.38774
2.15206,2.12104,7.10E-05,1.2791
1.92115,2.10621,0.00249406,1.18656
1.90915,2.09258,0.0024241,1.1068
1.92115,2.08147,0.00183451,1.03738
2.03686,2.07874,0.000124204,0.976421
2.2715,2.08986,0.00231927,0.922482
2.14759,2.09301,0.000208053,0.87443
2.2715,2.10229,0.00198862,0.831364
2.14759,2.10453,0.000128111,0.792559
1.91314,2.09547,0.00228655,0.757422
2.26207,2.10302,0.00173254,0.725465
2.26677,2.11015,0.00167369,0.696286
2.01997,2.10638,0.00050765,0.669544
2.26677,2.11284,0.00160586,0.644954
2.15206,2.11437,9.60E-05,0.622274
2.03686,2.11145,0.000374995,0.601294
2.14312,2.11261,6.26E-05,0.581837
2.14759,2.11384,7.64E-05,0.563748
2.14759,2.11499,7.11E-05,0.546894
1.92115,2.10856,0.0023455,0.531155
2.02416,2.10583,0.000444628,0.51643
1.91713,2.09991,0.00222278,0.502629
1.90915,2.09407,0.00227139,0.48967
2.03686,2.09236,0.000204288,0.477482
2.04112,2.09087,0.000163893,0.466002
2.03261,2.08921,0.000211859,0.455174
2.04112,2.08787,0.000144363,0.444947
1.91314,2.08312,0.00190585,0.435274
2.25738,2.08776,0.00189555,0.426115
1.91314,2.0832,0.00190339,0.417433
1.90519,2.07865,0.00197811,0.409193
2.26677,2.08337,0.00220901,0.401366
2.15656,2.08517,0.00033437,0.393922
2.02838,2.0838,0.000201339,0.386838
2.14759,2.08532,0.000254005,0.380089
1.91713,2.08139,0.00176569,0.373654
1.79364,2.07478,0.00516846,0.367514
2.03261,2.07383,0.000110996,0.361651
2.04112,2.0731,6.68E-05,0.356047
2.14312,2.07463,0.000306066,0.350689
2.02838,2.07363,0.000133536,0.345561
2.03686,2.07285,8.44E-05,0.34065
2.26677,2.07692,0.00234737,0.335945
2.15656,2.07857,0.000395895,0.331434
2.03686,2.07772,0.000108605,0.327107
1.92518,2.07464,0.00145244,0.322954
2.16562,2.07645,0.000516691,0.318966
1.91314,2.07324,0.00166488,0.315135
2.03261,2.07245,0.00010303,0.311452
2.2715,2.07628,0.00247331,0.30791
2.15206,2.07772,0.000358495,0.304502
2.03261,2.07687,0.000127018,0.301223
2.03686,2.07612,9.99E-05,0.298065
1.90519,2.07297,0.00182388,0.295023
2.2715,2.0766,0.00246024,0.292091
2.14759,2.07788,0.000314608,0.289265
2.14312,2.07905,0.000265681,0.28654
2.04541,2.07845,7.06E-05,0.283911
2.15656,2.07983,0.00038083,0.281374
1.91713,2.07699,0.0016523,0.278926
2.16108,2.07844,0.000441402,0.276561
1.90915,2.07554,0.00178901,0.274277
2.14759,2.07677,0.00032404,0.272071
